project_contract_address,dex,percentage
0x0e738d2a4b5d44627092b74258e071640f0ae4cc,bnb_pancakeswap_2,11.6
0x15d1c7d344e7b0e01a24109b77a616f6d8e9e73c,bnb_pancakeswap_2,11.6
0x576bb6190d7c22cf34d1f3faf062fdd3c2d775af,bnb_pancakeswap_2,11.6
0x989e4abcefd8303d95d6c7dc9cc9d03433e10378,bnb_pancakeswap_2,11.6
0xfc5a25d79f09379bf7f0a6f94ec6cd3ae9b7295b,bnb_pancakeswap_2,11.6
0xb5151965b13872b183eba08e33d0d06743ac8132,bnb_pancakeswap_2,11.6
0x5db75ed81fe90c6bba90c6d07888cc66a3a304c0,bnb_pancakeswap_2,11.6
0x48d807e5cb92617953a88cce78dcf31012f4d6b6,bnb_pancakeswap_2,11.6
0x645b56bdd12ea9cbcfd08d187f06fb81029ce854,bnb_pancakeswap_2,11.6
0x71e9ca44c58ee691ccbda9ded722b8cf3373cec6,bnb_pancakeswap_2,11.6
0x803b7c97876def5abf61ac86cf1a335345390ff1,bnb_pancakeswap_2,11.6
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bnb_pancakeswap_2,11.6
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bnb_pancakeswap_2,11.6
0xf01ed80d46759c0cf6a3e9c66856017d81284962,bnb_pancakeswap_2,11.6
0x705f9174681af8b13e7dd9f1c3ecb6511b25a931,bnb_pancakeswap_2,11.6
0x63a12731b1dcf87112059f6d0e576f3d09c894c2,bnb_pancakeswap_2,11.6
0x287ad27eb5f600130980bf8659c2aaeec0dda822,bnb_pancakeswap_2,11.6
0x0ae267b8f8751894a6d11b9e9e9f9fa42896ee60,bnb_pancakeswap_2,11.6
0x04926dbc3f8fc9566406df24ab38d2006023a759,bnb_pancakeswap_2,11.6
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bnb_pancakeswap_2,11.6
0x3fc593d15c34d2f91ca3b4f2097dddaf3c4de86c,bnb_pancakeswap_2,11.6
0xf7697db76fbf4ba5d22c0c72ab986cf751fba3af,bnb_pancakeswap_2,11.6
0x51a5973492012eccf126d5e97a5f67248acba09e,bnb_pancakeswap_2,11.6
0xcf945de12e2c6b99a54a9ab44a75fb5cac4f2424,bnb_pancakeswap_2,11.6
0xb72723e36a83fb5fe1793f06b436f4720f5de4f9,bnb_pancakeswap_2,11.6
0xa3fe441e6f5b27273fa7294c462bc55c60a0d785,bnb_pancakeswap_2,11.6
0xf82583bbde621efed4e9d19ad6248e3c71f00b97,bnb_pancakeswap_2,11.6
0x0362715cf7c0024345f5ae2ebf97a5014d87d008,bnb_pancakeswap_2,11.6
0x366c83339e3142012e1e7458bfb19798036fc251,bnb_pancakeswap_2,11.6
0xa1b86c93872ee6067a9bc49543a99a81d645fb79,bnb_pancakeswap_2,11.6
0xb734577f6d8ea35180c74237b2f14bf584ee0468,bnb_pancakeswap_2,11.6
0xa9986fcbdb23c2e8b11ab40102990a08f8e58f06,bnb_pancakeswap_2,11.6
0x9eb0bc7a207f77811ee365729d00152622a745b7,bnb_pancakeswap_2,11.6
