pool_id,dex,percentage
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x79f56ca74489999c0e49b017673f5a5e8e960f63,bnb__pancakeswap__3,10.9
0xafb2da14056725e3ba3a30dd846b6bbbd7886c56,bnb__pancakeswap__3,10.9
0xbbe8d24f65f5290f086b27aa97742f6cc58ac87e,bnb__pancakeswap__3,10.9
0xd03f6205f3ba8fe26f2ee387ced4687122116046,bnb__pancakeswap__3,10.9
0x5e3f597249a5714eb3df94e08b4eb6da387548ed,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0x8f45b99bf65cdbf9bc0c0b4846d6a324d2de5314,bnb__pancakeswap__3,10.9
0x07f071aa224e2fc2cf03ca2e6558ec6181d66a90,bnb__pancakeswap__3,10.9
0x6cfc5ada75cc401e92ce51461e5e789943688179,bnb__pancakeswap__3,10.9
0x294b2517285c51da7e083a28c9ff6cb4d9866c0c,bnb__pancakeswap__3,10.9
0xbbe8d24f65f5290f086b27aa97742f6cc58ac87e,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0x2bfd7b1f1481ecb6610fa6223726518fa0da99f1,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0xb943abacf9a784c6e45cd91b2e5d5724a150591d,bnb__pancakeswap__3,10.9
0x8de05c60bc57c931599cb013eb54d628ef779ee3,bnb__pancakeswap__3,10.9
0x78fc96f3543337cd5393533ea66dc8fe42ad054d,bnb__pancakeswap__3,10.9
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb__pancakeswap__3,10.9
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb__pancakeswap__3,10.9
0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b,bnb__pancakeswap__3,10.9
0x673516e510d702ab5f2bbf0c6b545111a85f7ea7,bnb__pancakeswap__3,10.9
0x1e8d7ab96323953fac85ab687f5d38b45344e62d,bnb__pancakeswap__3,10.9
0x7932469204a417c34125c6f320eaebf0a766a24f,bnb__pancakeswap__3,10.9
0xf94d2fb4df891b87f58e3bd8f55446d7161362bd,bnb__pancakeswap__3,10.9
0x8f45b99bf65cdbf9bc0c0b4846d6a324d2de5314,bnb__pancakeswap__3,10.9
0xa06261529e36f7f702e2c9764905e27f93237286,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb__pancakeswap__3,10.9
0x384363ff80d878ea12c8acd66135535d7dd7aa85,bnb__pancakeswap__3,10.9
0xcfc9245b7cfbf39dd21a1b7deddf583e6e5f0b15,bnb__pancakeswap__3,10.9
0x0dca2198d75127d387a4851a1b08c1b34b4c2acc,bnb__pancakeswap__3,10.9
0xd58522d5cac3ada9e99e8bab822382b656b34e87,bnb__pancakeswap__3,10.9
0x560a3375c67c8ad4c13018c87633e6066477151f,bnb__pancakeswap__3,10.9
0xacb622435b634e75b61473be6f839c46e36bd754,bnb__pancakeswap__3,10.9
0x7a5deb5873616dd155a719d86257bb64b85b42b9,bnb__pancakeswap__3,10.9
0xb2d871092c2244a4463a6773d73f62e9586d1f25,bnb__pancakeswap__3,10.9
0x85faac652b707fdf6907ef726751087f9e0b6687,bnb__pancakeswap__3,10.9
0x6bbc40579ad1bbd243895ca0acb086bb6300d636,bnb__pancakeswap__3,10.9
0x9dd8274331183404d45357b870b4c72deec2bb0e,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0x1567b800fdf7c1e5115e9e4cb115899983b94600,bnb__pancakeswap__3,10.9
0xb7021120a77d68243097bfde152289db6d623407,bnb__pancakeswap__3,10.9
0x4ba556e9754a9dedc0f108960283f0535f4c5ff4,bnb__pancakeswap__3,10.9
0x539e0ebfffd39e54a0f7e5f8fec40ade7933a664,bnb__pancakeswap__3,10.9
0xdd36bd40a622fc0f811ef1e6d09b0e9de68bcabf,bnb__pancakeswap__3,10.9
0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b,bnb__pancakeswap__3,10.9
0x588d7cf062f4edd7c7c7f2d66fd770e03b1ea735,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0x06d8936a9b6cbec0883d2603cfef1d9ddc35c31a,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0xb2af49dbf526054faf19602860a5e298a79f3d05,bnb__pancakeswap__3,10.9
0x93f8480f9b0e8a6e171890c91c17df1f5a10e4a1,bnb__pancakeswap__3,10.9
0x1de2a3dfebd6f56247b4b403fdb47fada086aa90,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0xafb2da14056725e3ba3a30dd846b6bbbd7886c56,bnb__pancakeswap__3,10.9
0x3bec07d83c4cde1f3c7eceaf7e0c8fdfb034cc7f,bnb__pancakeswap__3,10.9
0xb1931958a43b66ac019aea693b647e92159b9cbc,bnb__pancakeswap__3,10.9
0xee7fa0e58fe188c7add74f52e271fae9f0b3dafc,bnb__pancakeswap__3,10.9
0x79a5c0046bb8b2f835b78e38082f0b73c6e5733e,bnb__pancakeswap__3,10.9
0x38231d4ef9d33ebea944c75a21301ff6986499c3,bnb__pancakeswap__3,10.9
0xd0623acd818f342db9de1dec357e7923b6c99490,bnb__pancakeswap__3,10.9
0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,bnb__pancakeswap__3,10.9
0xa40d6d2e1dcba720ba4c4d043229af665456d318,bnb__pancakeswap__3,10.9
0x65c7b03f5e82be0794b1359d013b0509bf352d56,bnb__pancakeswap__3,10.9
0x83682d444a65261d0fc4f9c46db11b3999d4fa5b,bnb__pancakeswap__3,10.9
0x5fd12bbb709a59c9f3bf9c690bff75edc6c4dcfd,bnb__pancakeswap__3,10.9
0xcc82e9b425386fa958900083e8c5fecce1bd228f,bnb__pancakeswap__3,10.9
0x0b3a262876037476d6f8ca1d60c31b4a9a1934a0,bnb__pancakeswap__3,10.9
0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
